startup_name,sector,city,investors,stage,amount_usd,description
Medikoe,Healthcare Services Discovery Platform,Bengaluru,Anil Menon,Seed,100000.0,Healthcare Services Discovery platform - 
Stylofie,Health And Beauty Services Marketplace,Gurugram,Swastika,Seed,250000.0,Health and Beauty Services Marketplace - 
Naaptol,Online And Tv Shopping Marketplace,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000.0,Online and TV Shopping Marketplace - 
Earlysalary.Com,Mobile App Based Loan Disbursement Platform,Mumbai,Ashok Agarwal,Seed,1500000.0,Mobile App based Loan disbursement platform - 
Tooler,On Demand Laundry Services App,Delhi,"Raghu Khanna, Sameer Gupta",Seed,110000.0,On Demand Laundry Services App - 
S Chand,Education Content Provider,Delhi,Ifc Everstone Group,Private Equity,27000000.0,Education Content Provider - 
Goqii,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000.0,Fitness Tracking Management Solutions - 
Grofers,Hyper-Local Grocery Delivery Platform,Gurugram,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000.0,Hyper-local Grocery Delivery platform - 
Pluss,Hyperlocal Healthcare Product Delivery Service Provider,Gurugram,"Idg Ventures, M & S Partners, Powerhouse Ventures (Usa).",Private Equity,1000000.0,Hyperlocal healthcare product Delivery Service provider - 
Baxi,Two-Wheeler Taxi Service,Gurugram,"Manish Kheterpal, Alok Mittal,\\Xc2\\Xa0 Puneet Dalmia,",Seed,1450000.0,Two-Wheeler Taxi Service - 
Superhero Brands,Character Merchandize Sales Platform,Mumbai,Dsg Consumer Partners,Seed,540000.0,character merchandize sales platform - 
Qikpod,Ecommerce Delivery Locker Services,Bengaluru,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000.0,Ecommerce Delivery locker services - 
Muvizz,Movie-On-Demand Platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed,350000.0,Movie-on-demand platform - 
Shopalyst,Product Discovery & Recommendation Platform,Bengaluru,Kalaari Capital,Private Equity,2000000.0,Product discovery & recommendation platform - 
Chillr,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,6000000.0,Mobile Payments App - 
Nykaa,Beauty & Wellness Products E-Tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000.0,Beauty & Wellness Products e-tailer - 
Voylla,Fashion Jewelry And Accessories E-Tailer,Jaipur,Peepul Capital,Private Equity,15000000.0,Fashion jewelry and accessories e-tailer - 
Indialends,Online Consumer Lending Platform,Delhi,"Dsg Consumer Partners, Paragon Partners",Private Equity,1000000.0,Online Consumer Lending platform - 
Rock N Shop,Premium Apparel Shopping Portal,Delhi,High Networth Individuals (Undisclosed),Seed,150000.0,Premium Apparel shopping portal - 
Docplexus,Exclusive Platform For Doctors & Healthcare Professionals,Pune,"Uniqorn Ventures, Asp Consulting",Seed,700000.0,Exclusive Platform for Doctors & Healthcare professionals - 
Workindia,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed,500000.0,Job Board - 
Sportzvillage,Sports Management & Physical Education Business,Bengaluru,Gaja Capital Private Equity Fund,Private Equity,10000000.0,Sports Management & Physical Education Business - 
Burger Singh,Qsr & Online Delivery Portal,Gurugram,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed,500000.0,QSR & Online delivery portal - 
Welcome Cure,Online Homeopathy Clinic,Mumbai,Unnamed Media House And Hnis,Private Equity,6000000.0,Online Homeopathy Clinic - 
Schoolguru,E-Learning Service Provider,Mumbai,High Networth Individuals From India & Usa,Private Equity,3000000.0,E-Learning Service Provider - 
Gojavas,Delivery & Logistics Service Provider,Gurugram,Snapdeal,Private Equity,20000000.0,Delivery & Logistics Service provider - 
Zupermeal,Home Cooked Food Marketplace & Delivery,Mumbai,"Sanjeev Kapoor,\\Xc2\\Xa0 Ravi Saxena & Others",Private Equity,2000000.0,Home Cooked Food marketplace & Delivery - 
Cube26,Gesture Based Mobile Development,Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000.0,Gesture based Mobile Development - 
Grabhouse,Rental Accommodation Search Platform,Bengaluru,Sequoia And Kalaari Capital.,Private Equity,10000000.0,Rental Accommodation Search platform - 
Quifers,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed,310000.0,Logistics Tech Platform - 
Stockroom.Io,Developer Portfolio Showcase Platform,Hyderabad,Undisclosed Investors,Seed,70000.0,Developer Portfolio Showcase platform - 
Cloud Lending,End-To-End Lending Platform,Bangalore / San Mateo,Sf Capital Group,Private Equity,8000000.0,End-to-End Lending platform - 
Inayo,On-Demand Healthcare Marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath And Others",Seed,300000.0,on-demand healthcare marketplace - 
Kulzy,Advertising & Marketing Community Networking Platform,Delhi,"Seedfund, Bedrock Ventures",Seed,1000000.0,Advertising & Marketing Community Networking platform - 
Zeppery,Food Ordering & Delivery App,Delhi,Suyash Sharma,Seed,77000.0,Food Ordering & Delivery App - 
Zify,Ride Sharing Platform,Hyderabad,Sean O\\Xe2\\X80\\X99Sullivan & Others,Seed,190000.0,Ride Sharing platform - 
Gridle,Cloud Based Collaboration Platform,Ahmedabad,Letsventure,Seed,100000.0,Cloud Based Collaboration platform - 
Voodoo,Mobile Only Shopping Assistant,Delhi,Saif Partners,Seed,1000000.0,Mobile Only Shopping Assistant - 
Lookup,Mobile Messaging Assistant App,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European Investment Fund",Private Equity,2500000.0,Mobile Messaging Assistant App - 
Askmygift,Personalized Wish List Creator App,Noida,Turning Ideas,Seed,50000.0,Personalized Wish List creator app - 
Zappfresh,Raw Meat & Ready To Eat Food Etailer,Gurugram,Undisclosed Investors,Seed,77000.0,Raw Meat & Ready to eat food etailer - 
S-Cube Futuretech,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,1000000.0,Structural & Civil Engg Service Automation - 
Citrus Payment,Payments Solution Platform,Mumbai,"Sequoia Capital, Ascent Capital, Econtext Asia, Beenos Asia",Private Equity,25000000.0,Payments Solution platform - 
Holidify,Travel Destination Discovery Platform,Delhi,Aarti Group,Seed,100000.0,Travel Destination Discovery platform - 
Opinio,Last Mile Delivery Service,Bengaluru,"Delhivery, Sands Capital And Accel Partners",Private Equity,7000000.0,Last Mile Delivery Service - 
Attune Technologies,Healthcare It Solutions & Services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000.0,Healthcare IT Solutions & services - 
Agentdesks,Real Estate Mobile Crm,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed,2950000.0,Real Estate Mobile CRM - 
White Owl Brewery,Micro-Brewery,Mumbai,"Arihant Patni, Raay Global Investments",Private Equity,1530000.0,Micro-Brewery - 
Mealhopper,Home Made Food Marketplace,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed,100000.0,Home Made Food Marketplace - 
Zenify.In,Residential Rental Management Platform,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed,640000.0,residential rental management platform - 
Medd,Personal Diagnostic Mobile App,Mumbai,Group Of Angel Investors,Seed,150000.0,Personal Diagnostic Mobile App - 
Leaping Caravan,Online Food Ordering & Delivery Service,Gurugram,Group Of Angel Investors,Seed,150000.0,Online food ordering & Delivery service - 
Frsh,Online Food Ordering & Delivery Service,Gurugram,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000.0,Online food ordering & Delivery service - 
Qik Stay,Hotel Aggregator & Booking Platform,Delhi,Id Enablers Pvt Ltd,Seed,250000.0,Hotel Aggregator & booking platform - 
Parcelled,Online Logistics Platform,Bengaluru,Delhivery,Private Equity,5000000.0,Online Logistics Platform - 
Almamapper,Online Student & Campus Social Networking Platform,Ahmedabad,Oswal Techno Ventures Llp,Seed,400000.0,Online Student & Campus Social Networking platform - 
Flexing It,Professionals & Project Search Marketplace,Delhi,Undisclosed Private Investors,Seed,500000.0,Professionals & Project Search Marketplace - 
Netmeds.Com,Online Pharmacy,Chennai,"Orbimed, Pradip Dadha Group",Private Equity,50000000.0,Online Pharmacy - 
Razorpay,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000.0,Online Payment Gateway - 
Happitoo,Location Based Nightlife Recommendation\\Xc2\\Xa0 Platform,Mumbai,Unnamed Investor,Seed,77000.0,Location based Nightlife recommendation\\xc2\\xa0 Platform - 
Care24,Professional Health Services Platform,Mumbai,India Quotient,Seed,350000.0,Professional Health Services Platform - 
Roadrunnr,Hyperlocal Logistics Service,Bengaluru,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000.0,Hyperlocal Logistics Service - 
Origa Leasing,Asset Financing Platform,Mumbai,"Ah! Ventures, 500 Startups & Other Hnis",Seed,1100000.0,Asset Financing platform - 
Smartivity.In,Virtual Reality Activity Based Learning Platform,Delhi,S Chand And Co Pvt Ltd,Seed,200000.0,Virtual Reality activity based learning platform - 
Zophop,Public Commute Helper App,Mumbai,"Amit Singhal, Pk Gulati & Others",Seed,450000.0,Public Commute helper App - 
Lifto,Ridesharing Mobile App,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed,130000.0,Ridesharing Mobile app - 
Tinyowl,Food Discovery & Delivery Mobile App,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000.0,Food Discovery & Delivery Mobile app - 
Toppr.Com,Competitive Exam Learning Platform,Mumbai,Innoven Capital,Private Equity,2000000.0,Competitive exam learning platform - 
Kleeto,Document Digitization Platform,Gurugram,Grex,Seed,230000.0,Document Digitization platform - 
Beaconstalk,Proximity Marketing & Mobile Advertising Platform,Mumbai,Puneet Bhatia & Others,Seed,80000.0,proximity marketing & Mobile Advertising platform - 
Toflo,Fintech Startup Incubation Platform,Mumbai,Tania Johny Palathinkal,Seed,100000.0,FinTech Startup Incubation platform - 
Stylecracker,Personalized Styling Platform,Mumbai,Group Of Hni Investors,Private Equity,1000000.0,Personalized Styling platform - 
Luxuryhues,Luxury Goods\\Xc2\\Xa0 Shopping Platform,Gurugram,Reliance Capital,Private Equity,900000.0,Luxury goods\\xc2\\xa0 Shopping Platform - 
Zivame,Online Lingerie Marketplace,Bengaluru,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000.0,Online Lingerie Marketplace - 
Capillary Tech,Cloud Software Solutions,Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000.0,Cloud software solutions - 
Jobspire,Job Search Platform,Bengaluru,Purvi Capital,Seed,260000.0,Job Search Platform - 
Vistaar Finance,Small Business Financing (Nbfc),Bengaluru,"Westbridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\Xc2\\Xa0 Lok Capital",Private Equity,40000000.0,Small Business Financing (NBFC) - 
Clapsnslaps,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed,150000.0,Online Movie Review Platform - 
Blubox,Ecommerce Brands\\Xe2\\X80\\X99 Full Service Agency,Mumbai,Ashish Jhalani,Seed,100000.0,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency - 
Roomcentral,Cloud-Based Hotel Booking Platform,Bengaluru,Karanpal Singh,Seed,2000000.0,Cloud-based Hotel Booking Platform - 
Youthkiawaaz,Community Driven News/Views Platform,Delhi,"Raghav Bahl, Ritu Kapur",Seed,600000.0,Community Driven News/Views Platform - 
Prozo,Study Material Marketplace,Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & Others",Seed,205000.0,Study Material Marketplace - 
Zomato,Restaurant Ratings & Reviews Platform,Gurugram,"Temasek, Vy Capital",Private Equity,60000000.0,Restaurant Ratings & Reviews platform - 
Sahayog Dairy,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,1800000.0,Dairy Based Product Manufacturer - 
Mockbank,Government Test Preparation Platform,Bengaluru,Blume Ventures,Seed,400000.0,Government Test Preparation platform - 
Onlinetyari,Multilingual Test Preparation Platform,Gurugram,"500 Startups, Tv Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.0,Multilingual Test Preparation Platform - 
Industrybuying,Industrial Tools Marketplace,Delhi,"Kalaari Capital, Saif Partners, Beenextan Investment Fund",Private Equity,9200000.0,Industrial Tools Marketplace - 
The/Nudge Foundation,Non Profit Organization To Alleviate Poverty,Bengaluru,"Nanadan Nilekani, Inmobi, Paytm",Seed,315000.0,Non Profit Organization to alleviate poverty - 
Fitmein,Gym & Fitness Studios Subscription Platform,Delhi,Green House Ventures,Seed,100000.0,Gym & Fitness Studios Subscription platform - 
Credr,Used Vehicles Marketplace,Mumbai,Eight Road Ventures,Private Equity,15000000.0,Used Vehicles Marketplace - 
Canvasflip,Mobile App Testing Platform,Hyderabad,Bessemer Venture Partners,Seed,1200000.0,Mobile App testing platform - 
Shadowfax,Hyperlocal Delivery Services,Gurugram,Eight Roads Ventures,Private Equity,9000000.0,Hyperlocal Delivery Services - 
Ue Life Sciences,Early Cancer Detection Solutions,Us/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000.0,Early Cancer Detection Solutions - 
Ola Cabs,Cab Rental Mobile App,Bengaluru,"Falcon Edge Capital, Ny Based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000.0,Cab rental Mobile app - 
Coverfox,Online Insurance Distribution Platform,Mumbai,Cataraman Ventures,Private Equity,2000000.0,Online Insurance Distribution Platform - 
Moengage,Mobile Marketing Automation Platform,Bengaluru,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000.0,Mobile Marketing Automation Platform - 
Tea Trails,Chain Of Tea Caf\\Xc3\\Xa9\\Xe2\\X80\\X99S,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & Others",Seed,1000000.0,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s - 
Room On Call,Branded Budget Hotel Marketplace,Noida,Payal Syal,Seed,300000.0,Branded Budget Hotel Marketplace - 
Chaipoint,Food Subscription Platform,Bengaluru,Eight Roads Ventures,Private Equity,10000000.0,Food Subscription platform - 
Wedmegood.Com,Wedding Planning Platform,Gurugram,Indian Angel Network,Seed,410000.0,Wedding Planning Platform - 
Xstok,B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital,Seed,450000.0,B2B Mobile Auction Marketplace - 
Yepme,Private Label Fashion Etailer,Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000.0,Private label Fashion eTailer - 
Bueno,Online Food Ordering & Delivery,Gurugram,High Networth Individuals (No Details),Seed,600000.0,Online Food ordering & delivery - 
Plabro,Real Estate Broker Platform App,Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed,350000.0,Real Estate Broker Platform App - 
Curejoy,Online Health & Wellness Platform,Bengaluru,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000.0,Online Health & Wellness platform - 
Briston Technomach,Internet Of Things Platform,Delhi,Undisclosed,Seed,150000.0,Internet of Things platform - 
Labstreet,Diagnostic Labs Aggregator Platform,Gurugram,Multiple Investors,Seed,150000.0,Diagnostic Labs aggregator platform - 
Portea Medical,Home Medical Care Services,Bengaluru,"Accel Partners, International Finance Corporation (Ifc), Qualcomm Ventures, Ventureast",Private Equity,37500000.0,Home Medical Care Services - 
Neotrade Analytics,Real-Time Stock Data Platform,Bengaluru,Rainmatter,Seed,235000.0,Real-Time stock data platform - 
Lafalafa,Coupons And Cashback Aggregator App,Mumbai,500 Startups,Seed,125000.0,coupons and cashback aggregator app - 
Bestdealfinance,Financial Services Portal,Mumbai,"Kalaari Capital, Yournest Angel Fund",Private Equity,3000000.0,Financial Services Portal - 
Virtual Logic,"Virtual Reality, 3D Simulation And Stereoscopic Products",Bengaluru,Swarnim Multiventures,Private Equity,800000.0,"virtual reality, 3d simulation and stereoscopic products - "
Furdo,Online Interior Designing Platform,Bengaluru,Bhavdeep Reddy,Seed,400000.0,Online Interior Designing platform - 
Loginext,End-To-End Logistics Platform,Mumbai,Paytm,Private Equity,10000000.0,End-to-end Logistics platform - 
Korra,Private Label Apparel Sales,Delhi,Asha Jadeja Motwani & Others,Seed,300000.0,Private Label Apparel sales - 
Silverpush,Cross-Device Retargeting Platform,Gurgaon / Sfo,M&S Partners,Private Equity,1200000.0,Cross-device retargeting platform - 
Juggernaut,Digital & Physical Publishing Platform,Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000.0,Digital & Physical Publishing platform - 
Innerchef,Food Delivery Platform,Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & Others",Private Equity,1750000.0,Food Delivery Platform - 
Quintype,Data Driven Publishing Platform,Bengaluru,Raghav Bahl,Private Equity,3300000.0,Data Driven Publishing platform - 
Capabiliti,Employee Onboarding & Orientation Platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed,400000.0,Employee OnBoarding & Orientation platform - 
Fourth Partner Energy,Solar Power Solutions Company,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000.0,Solar Power Solutions company - 
Licious,Online Meat Ordering Platform,Bengaluru,"Kanwaljit Singh, Tv Mohandas Pai",Seed,1000000.0,Online Meat Ordering platform - 
Ola Cabs,Cab Booking App Platform,Bengaluru,Didi Kuaidi,Private Equity,30000000.0,Cab Booking app platform - 
Paytm,E-Commerce & M-Commerce Platform,Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000.0,E-Commerce & M-Commerce platform - 
Inmobi,Mobile Advertising Platform,Bengaluru,Tennenbaum Capital Partners & Others,Private Equity,100000000.0,Mobile Advertising platform - 
Peppertap,Hyperlocal Grocery Delivery,Gurugram,"Sequoia India, Saif Partners.",Private Equity,36000000.0,Hyperlocal Grocery Delivery - 
Zakoopi,Fashion Discovery Platform,Delhi,Uniqorn Ventures,Seed,350000.0,Fashion Discovery platform - 
Infoworks,Big Data Management Platform,Bangalore / Usa,"Nexus Venture Partners, Knoll Ventures And Others",Private Equity,5000000.0,Big Data Management Platform - 
Reddoorz,Budget Accommodation Platform,Noida,Jungle Ventures,Seed,1000000.0,Budget Accommodation Platform - 
Eywa Media,Digital Signal Processing Platform,Bengaluru,"Ah! Ventures, Viktor Koenig Pe Fund, Mantra Ventures",Seed,1000000.0,Digital Signal processing platform - 
Snapdeal,Ecommerce Marketplace,Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.0,Ecommerce Marketplace - 
Ressy,Restaurant Discount App,Pune,Mohandas Pai & Others,Seed,400000.0,Restaurant Discount app - 
Connect India,Ecommerce Logistics Provider,Delhi,Aavishkaar,Private Equity,5000000.0,ECommerce Logistics provider - 
Oyorooms,Budget Hotel Accommodation Brand,Delhi,"Softbank Group, Greenoaks Capital, Sequoia Capital,\\Xc2\\Xa0 Lightspeed India",Private Equity,100000000.0,Budget Hotel accommodation brand - 
Wizrocket,User Engagment & Analytics Platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000.0,User Engagment & Analytics platform - 
Pickingo,On-Demand Delivery Logistics,Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000.0,On-Demand Delivery Logistics - 
Grex,Fund Raising Platform For Startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed,650000.0,fund raising platform for startups - 
Letstransport,Logistics Tech Platform,Bengaluru,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed,1300000.0,Logistics Tech Platform - 
Zo Rooms,Online Budget Hotel Chain,Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000.0,Online budget hotel chain - 
Doormint,Hyperlocal Handyman Services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,3000000.0,Hyperlocal Handyman services - 
Nightstay,Hotel Booking App,Noida,"Bedrock Ventures, Rajesh Sawhney, Shailesh Singh",Seed,500000.0,hotel booking app - 
Sunday Realty Solutions,Tech Platform For Property Brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed,785000.0,Tech Platform for property brokers - 
Appvigil,App Security\\Xc2\\Xa0 Testing Platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, Ripplewave",Seed,500000.0,App security\\xc2\\xa0 testing platform - 
Practo,Doctor Appointment Booking App,Bengaluru,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,90000000.0,Doctor Appointment booking app - 
Ketto,Crowd Funding Platform,Mumbai,"Chennai Angels, Calcutta Angels, Ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, Letsventure",Seed,700000.0,Crowd funding platform - 
Ezetap,Mobile Based Pos Solution,Bengaluru,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,25000000.0,Mobile based PoS solution - 
Carl\\Xe2\\X80\\X99S Jr,Fast Food Chain Franchisee,Gurugram,Youwecan Ventures,Seed,630000.0,Fast food Chain Franchisee - 
Easyrewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,500000.0,Loyalty Programs & Reward Points - 
Mytaxiindia,Taxi Rental Platform,Gurugram,"Nihon Kotsu,",Private Equity,500000.0,Taxi Rental platform - 
Esadar,Ecommerce,Delhi,"Neha Vats, Gaurav Vats",Seed,80000.0,ecommerce - 
Mypoolin,Mobile Social Network,Delhi,Qprize From Qualcomm Ventures,Seed,250000.0,mobile social network - 
Nearbuy (Previously\\Xc2\\Xa0 Groupon India),Hyper-Local Ecommerce,Delhi,Sequoia Capital,Private Equity,16000000.0,Hyper-Local Ecommerce - 
Inkmonk,Online Printing Marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others From Letsventure",Seed,250000.0,Online printing marketplace - 
Tonetag,Mobile Payment Software Platform,Bengaluru,Reliance Capital Venture,Private Equity,1000000.0,mobile payment software platform - 
Grey Orange,Automated Storage & Warehousing Solution,Gurugram,Tiger Global Management,Private Equity,30000000.0,Automated Storage & Warehousing Solution - 
Livspace,Home Design & D\\Xc3\\Xa9Cor Solutions,Bengaluru,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,8000000.0,Home Design & D\\xc3\\xa9cor solutions - 
Wow! Momo,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed,1600000.0,Quick Service Restaurant Chain - 
Raincan,Subscription Based Online Grocery Platform,Pune,Ajeet Khurana & Others,Seed,100000.0,Subscription based Online Grocery platform - 
Allygrow Technologies,Engineering Services Company,Mumbai,Zodius Technology Fund,Private Equity,20000000.0,engineering services company - 
Infogain,Business And It Consulting,New Delhi / Us,Chryscapital,Private Equity,63000000.0,Business and IT consulting - 
Oneassist,Credit Card Fraud Protection Solutions,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,7500000.0,Credit Card Fraud protection solutions - 
Bigbasket,Online & Mobile Grocery Store,Bengaluru,Bessemer Venture Partners,Private Equity,50000000.0,Online & mobile Grocery store - 
Sheroes,Career Community For Women,Noida,"Quintillion Media, 500 Startups",Seed,770000.0,Career Community for Women - 
Scripbox,Mutual Fund Investing Platform,Bengaluru,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,2500000.0,Mutual Fund Investing platform - 
Etaout,Ecommerce Marketing Software Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\Xc2\\Xa0 Group Of Other Angel Investors",Seed,500000.0,Ecommerce Marketing Software Platform - 
Ifmr Holdings,Financial Inclusion Platform,Chennai,"Accion, Leapfrog Investments, Lok Capital",Private Equity,25000000.0,Financial Inclusion platform - 
Agrostar,Mobile Commerce For Farmers,Pune,Idg Ventures,Private Equity,4000000.0,Mobile Commerce for Farmers - 
Voxweb,Picture Based Social App,Mumbai,Jitendra Gupta & Others,Seed,100000.0,Picture based Social App - 
Trukky,Logistics Service Platform,Ahmedabad,"Gujarat Based Angel Investors, Mmy Co-Founder",Seed,245000.0,Logistics service platform - 
Edu4Share,Exam Preparation Platform,Delhi,Nalin Jain & Other Angel Investors,Seed,220000.0,Exam Preparation Platform - 
Sampurnearth,Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, Family Office Fund",Seed,160000.0,Waste Management Solutions - 
Shadowfax,On-Demand Delivery Service,Gurugram,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed,310000.0,on-demand delivery service - 
Intelligencenode,Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,4200000.0,Data Analytics Platform - 
Hyperverge,Deep Learning Cloud Algorithms,Chennai,"Nea, Milliways Ventures, Naya Ventures",Seed,1000000.0,Deep Learning Cloud Algorithms - 
Zoojoo.Be,Corporate Wellness App,Bengaluru,Roundglass Partners,Private Equity,1000000.0,Corporate Wellness App - 
Timesaverz,"Hyperlocal Maintenance, Repair & Cleaning Services",Mumbai,Unilazer Ventures,Private Equity,2400000.0,"Hyperlocal Maintenance, Repair & Cleaning services - "
Mebelkart,Online Furniture Marketplace,Bengaluru,Askme,Private Equity,20000000.0,Online Furniture Marketplace - 
Labsadvisor,Online Diagnostic Tests Marketplace,Delhi,Group Of Angel Investors,Seed,156000.0,Online Diagnostic Tests Marketplace - 
Flatpebble,Online Marketplace For Photographers,Hyderabad,Indian Angel Network,Seed,600000.0,Online marketplace for Photographers - 
Bluegape.Com,Visual Blogging Platform,Delhi,"Ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed,600000.0,Visual Blogging platform - 
Epoise,Job Search Platform,Bengaluru,"Orios Venture Partners, Amit Ranjan & Others",Seed,500000.0,Job Search Platform - 
Jolly Food Fellow,Food Customer Analytics Platform,Ahmedabad,The 1947,Seed,300000.0,Food Customer analytics platform - 
Bookmein,Professional Service Appointment Booking Service,Mumbai,Ajmera Group Of Companies,Seed,400000.0,Professional Service Appointment booking service - 
Qyk App,On-Demand App Based Professional Service Provider,Bengaluru,"Growx Ventures, Tracxn Labs, Powai Lake Ventures, And Sahil Barua",Private Equity,1000000.0,On-Demand App based Professional service provider - 
Eazydiner,Restaurant Reservation Platform,Gurugram,"Dsg Consumer Partners, Saama Capital",Private Equity,3000000.0,Restaurant Reservation Platform - 
Revx,Cross-Channel Crm Platform,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,4000000.0,Cross-channel CRM platform - 
Icustommadeit,Professional Custom Creators Marketplace,Pune,Group Of Angel Investors,Seed,250000.0,Professional Custom creators Marketplace - 
Pickmylaundry,On-Demand Washing & Dry-Cleaning,Delhi,Ghv Accelerator,Seed,100000.0,on-Demand Washing & Dry-Cleaning - 
Belita,On-Demand Beauty Service,Mumbai,"India Quotient, Letsventure Investors, Lead Angels",Seed,400000.0,On-Demand Beauty Service - 
Foodtalkindia,Online Food Community Platform,Gurugram,Undisclosed Investor,Seed,500000.0,Online Food Community Platform - 
Vyomo,Beauty & Lifestyle Mobile Marketplace,Bengaluru,Rocket Internet,Private Equity,2000000.0,Beauty & Lifestyle Mobile Marketplace - 
Rollmafia,Qsr Restaurant Chain,Pune,Equentia Natural Resources,Seed,160000.0,QSR Restaurant Chain - 
